,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
4,420304,864691135567738604,[251200 102352  18621],2022-06-09 14:30:32.002707,L1,excitatory,23P,80.0,4588.0,65.0,4192.0,1
6,516026,864691136541636514,[303952  92304  21439],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,151.0,3280.0,141.0,3089.0,1
8,284044,864691135500679108,[181584  93536  15536],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,178.0,2483.0,158.0,2347.0,1
17,485329,864691136273644301,[279648 100240  17581],2022-06-09 14:30:32.002707,L1,excitatory,23P,137.0,5819.0,116.0,5270.0,1
20,255318,864691135581550701,[174016  97872  23685],2022-06-09 14:30:32.002707,L1,excitatory,23P,56.0,4059.0,49.0,3765.0,1
21,291113,864691135785741252,[184464 106672  20599],2022-06-09 14:30:32.002707,L1,excitatory,23P,217.0,5199.0,184.0,4780.0,1
24,324486,864691135718488369,[203408  96384  23933],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,86.0,1960.0,71.0,1840.0,1
30,451870,864691136175612934,[270944  91120  25588],2022-06-09 14:30:32.002707,L1,excitatory,23P,48.0,3790.0,36.0,3451.0,1
31,291537,864691135454481770,[184976  95712  24542],2022-06-09 14:30:32.002707,L1,excitatory,23P,74.0,3577.0,62.0,3300.0,1
35,61063,864691136811820147,[ 91600 110336  18311],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,89.0,1715.0,74.0,1620.0,1
36,552173,864691135974459247,[311664  95600  24820],2022-06-09 14:30:32.002707,L1,excitatory,23P,88.0,6801.0,64.0,6169.0,1
49,388784,864691136003000456,[243632  80208  26891],2022-06-09 14:30:32.002707,L1,excitatory,23P,154.0,1250.0,135.0,1167.0,1
60,607403,864691135135022105,[356752  86992  24777],2022-06-09 14:30:32.002707,L1,excitatory,23P,37.0,2629.0,26.0,2476.0,1
61,324032,864691136273626381,[204208 106592  18251],2022-06-09 14:30:32.002707,L1,excitatory,23P,164.0,3284.0,149.0,3019.0,1
62,580716,864691135341554609,[331552  96832  17007],2022-06-09 14:30:32.002707,L1,excitatory,23P,70.0,1436.0,51.0,1351.0,1
63,550903,864691135909740713,[311920  91696  21899],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,32.0,2792.0,24.0,2594.0,1
65,608223,864691136136593533,[348336  97552  20194],2022-06-09 14:30:32.002707,L1,excitatory,23P,19.0,2031.0,14.0,1908.0,1
68,151966,864691135385279061,[129184 108176  20341],2022-06-09 14:30:32.002707,L1,excitatory,23P,22.0,1876.0,17.0,1765.0,1
69,356936,864691136023753785,[219408  85248  24019],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,25.0,1720.0,15.0,1634.0,1
72,580922,864691135476158120,[337648 103328  20319],2022-06-09 14:30:32.002707,L1,excitatory,23P,61.0,6285.0,39.0,5715.0,1
81,357744,864691137019565422,[225040 102496  19388],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,48.0,2481.0,28.0,2207.0,1
82,551327,864691136020705528,[319920  98352  15839],2022-06-09 14:30:32.002707,L1,inhibitory,MC,359.0,2439.0,298.0,2310.0,1
83,221080,864691135969023845,[152768  94928  21095],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,118.0,2420.0,106.0,2300.0,1
84,152342,864691134964731679,[123792 107296  24560],2022-06-09 14:30:32.002707,L1,excitatory,23P,118.0,1589.0,97.0,1488.0,1
