,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
14,132169,864691135181821954,[112208 257792  16298],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,244.0,1051.0,199.0,870.0,1
28,437829,864691135447056468,[259728 251936  18611],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,348.0,1468.0,298.0,1257.0,1
29,136093,864691135815483779,[109520 264176  18869],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,106.0,1747.0,92.0,1483.0,1
39,173909,864691135548837572,[128832 259344  16668],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,107.0,1554.0,93.0,1388.0,1
40,568431,864691135697745429,[312624 256912  24459],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,388.0,1518.0,317.0,1324.0,1
55,408484,864691135454071658,[245360 256240  25107],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,50.0,1977.0,30.0,1736.0,1
59,438618,864691135687956676,[259632 255952  24097],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,98.0,1618.0,82.0,1409.0,1
61,678680,864691135841080291,[375968 249136  22361],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,59.0,1238.0,41.0,1051.0,1
62,536249,864691136041036630,[311120 249392  19721],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,97.0,1890.0,73.0,1686.0,1
65,343474,864691135864672476,[210768 253376  17426],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,130.0,1345.0,101.0,1185.0,1
80,596880,864691134947389436,[329232 252128  23776],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,9.0,308.0,7.0,283.0,1
121,437810,864691135952272163,[256384 249296  18254],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,250.0,3029.0,209.0,2742.0,1
130,503573,864691136966024142,[281904 251360  26406],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,161.0,2195.0,136.0,1928.0,1
