,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
0,204710,864691135497604883,[134208 247184  18598],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,111.0,2125.0,95.0,1924.0,1
3,302532,864691134917529098,[187504 208768  18182],2022-06-09 14:30:32.002707,L6,excitatory,MC,158.0,6564.0,128.0,5772.0,1
5,674643,864691135382500058,[368624 233456  19043],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,15.0,866.0,8.0,773.0,1
10,273184,864691135454040938,[163888 244368  18219],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,40.0,2106.0,28.0,1936.0,1
12,719779,864691136116277924,[378256 240304  19202],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,118.0,9.0,89.0,1
20,340242,864691135502243677,[203264 220192  24679],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,235.0,3373.0,208.0,2987.0,1
22,202833,864691135415481530,[144528 229616  18722],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,46.0,2760.0,35.0,2403.0,1
30,465787,864691135683231986,[272912 215136  17650],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,87.0,1850.0,79.0,1703.0,1
42,436349,864691135233444185,[253760 231584  23091],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,136.0,1574.0,115.0,1432.0,1
46,304515,864691136990290325,[195728 223600  18627],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,100.0,1904.0,80.0,1738.0,1
48,372423,864691135345612959,[228784 213968  24086],2022-06-09 14:30:32.002707,L6,inhibitory,MC,9701.0,5968.0,5614.0,5091.0,1
53,675616,864691135718795057,[366176 231216  22087],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,11.0,1085.0,8.0,976.0,1
54,83814,864691135577274373,[ 98496 228688  16543],2022-06-09 14:30:32.002707,L6,inhibitory,6P-IT,16.0,3049.0,11.0,2578.0,1
66,498873,864691135564891415,[294816 216240  18822],2022-06-09 14:30:32.002707,L6,inhibitory,BC,268.0,5669.0,219.0,5219.0,1
