,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
0,0,485509,864691136740606812,[282608 103808  20318],2022-06-09 14:30:32.002707,L1,excitatory,23P,93.0,6802.0,77.0,6133.0
48,48,420548,864691135463500869,[261040 103568  19671],2022-06-09 14:30:32.002707,L1,excitatory,23P,602.0,4492.0,480.0,3801.0
9547,9548,485764,864691135873640078,[291200  99088  22206],2022-06-09 14:30:32.002707,L1,excitatory,23P,13.0,4079.0,9.0,3794.0
9621,9622,186942,864691136281700247,[136752 102736  15287],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,24.0,1725.0,17.0,1642.0
15683,15686,357057,864691135777506237,[221888  83056  26442],2022-06-09 14:30:32.002707,L1,excitatory,23P,1038.0,6518.0,881.0,5904.0
17598,17602,516190,864691135937379893,[309296  88704  23628],2022-06-09 14:30:32.002707,L1,excitatory,23P,65.0,1724.0,57.0,1577.0
18324,18328,485012,864691136686878492,[289328  82656  27405],2022-06-09 14:30:32.002707,L1,excitatory,23P,72.0,1117.0,65.0,1067.0
20527,20532,580650,864691135161014676,[343216 105504  15359],2022-06-09 14:30:32.002707,L1,excitatory,23P,19.0,2120.0,12.0,1953.0
21145,21151,187904,864691136084577644,[138288 102768  27334],2022-06-09 14:30:32.002707,L1,excitatory,5P-PT,2609.0,13949.0,1557.0,10899.0
27991,28003,354038,864691135122713383,[218544  91536  15269],2022-06-09 14:30:32.002707,L1,inhibitory,23P,19.0,1214.0,10.0,1134.0
28054,28066,551140,864691135738059412,[315680  82080  27165],2022-06-09 14:30:32.002707,L1,inhibitory,MC,57.0,2240.0,50.0,2114.0
29007,29019,580234,864691135699293730,[336224  92400  23327],2022-06-09 14:30:32.002707,L1,excitatory,23P,28.0,4581.0,19.0,4124.0
29320,29333,152373,864691135848261470,[116736 107968  25186],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,11.0,961.0,8.0,878.0
29677,29691,323140,864691136089151543,[203664  88096  23555],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,33.0,1684.0,27.0,1607.0
30845,30860,357189,864691136486780946,[225424  99904  15500],2022-06-09 14:30:32.002707,L1,excitatory,23P,24.0,3831.0,16.0,3487.0
30851,30866,449722,864691136226971473,[263024  94416  15162],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,87.0,1815.0,73.0,1582.0
32849,32865,189497,864691136084577644,[143696 115120  26919],2022-06-09 14:30:32.002707,L23,excitatory,23P,2609.0,13949.0,1557.0,10899.0
36410,36427,485042,864691136578350498,[284464  97488  15313],2022-06-09 14:30:32.002707,L1,excitatory,23P,171.0,3389.0,154.0,3117.0
38190,38207,255218,864691135491561567,[176016  95024  22051],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,579.0,2798.0,515.0,2599.0
41374,41394,485350,864691135925541646,[285424  94928  17281],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,35.0,2322.0,25.0,2130.0
43736,43757,290791,864691136699328878,[183728 105600  17793],2022-06-09 14:30:32.002707,L1,excitatory,23P,11.0,2790.0,8.0,2621.0
49306,49328,220943,864691135544771112,[151968 102672  19081],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,1496.0,3258.0,1121.0,3022.0
50387,50410,105327,864691135699570210,[113136 107184  24968],2022-06-09 14:30:32.002707,L1,excitatory,23P,144.0,1284.0,129.0,1202.0
52598,52622,326684,864691135777506237,[203536 121776  25039],2022-06-09 14:30:32.002707,L23,excitatory,23P,1038.0,6518.0,881.0,5904.0
53937,53961,252956,864691135385345621,[174736  90992  24719],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,28.0,1476.0,23.0,1407.0
54050,54074,451945,864691135918766256,[273232  94080  26814],2022-06-09 14:30:32.002707,L1,excitatory,23P,618.0,5471.0,466.0,4923.0
54522,54546,452194,864691135538133106,[269472  97280  16809],2022-06-09 14:30:32.002707,L1,excitatory,23P,167.0,3235.0,153.0,3033.0
55006,55030,187141,864691136925369162,[147136 104240  17272],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,39.0,3687.0,24.0,3460.0
55667,55691,151565,864691136039397886,[121072 102960  17756],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,106.0,1420.0,88.0,1324.0
55924,55948,482272,864691135737033860,[292592  90208  15641],2022-06-09 14:30:32.002707,L1,inhibitory,BC,77.0,3540.0,66.0,3357.0
56662,56687,580356,864691135815479375,[332320  88592  25682],2022-06-09 14:30:32.002707,L1,excitatory,23P,57.0,4876.0,45.0,4391.0
58197,58222,105208,864691135162251821,[108400 103136  24567],2022-06-09 14:30:32.002707,L1,excitatory,23P,289.0,1494.0,239.0,1383.0
58427,58452,551947,864691136004746698,[318096 100656  21730],2022-06-09 14:30:32.002707,L1,excitatory,23P,26.0,3858.0,14.0,3587.0
59399,59425,255234,864691136443711363,[164640 104752  22779],2022-06-09 14:30:32.002707,L1,excitatory,23P,105.0,2739.0,90.0,2548.0
60926,60952,62182,864691135655243411,[ 85824 104112  21127],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,20.0,834.0,14.0,784.0
61564,61591,605698,864691136050830323,[359056  91680  16006],2022-06-09 14:30:32.002707,L1,inhibitory,MC,10.0,792.0,9.0,759.0
62145,62173,324104,864691135581615981,[198752  95616  19786],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,181.0,1607.0,157.0,1526.0
62256,62284,517191,864691135538061170,[309856  98368  22793],2022-06-09 14:30:32.002707,L1,inhibitory,BPC,11.0,3206.0,7.0,2894.0
62651,62681,687301,864691135986926339,[392656  91520  23827],2022-06-09 14:30:32.002707,L1,excitatory,23P,4.0,265.0,4.0,243.0
63293,63323,511915,864691136084083564,[307376  91072  15772],2022-06-09 14:30:32.002707,L1,inhibitory,MC,104.0,2763.0,83.0,2633.0
63301,63331,323940,864691136951640031,[200064 101904  17869],2022-06-09 14:30:32.002707,L1,excitatory,23P,132.0,2602.0,111.0,2427.0
