,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
25,25,674643,864691135382500058,[368624 233456  19043],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,15.0,866.0,8.0,773.0
51,51,719779,864691136116277924,[378256 240304  19202],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,118.0,9.0,89.0
88,88,170833,864691136136605565,[129376 246176  15190],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,37.0,282.0,30.0,236.0
95,95,82115,864691135065013828,[ 89984 216672  20629],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,10.0,271.0,5.0,221.0
107,107,126050,864691136208995260,[104192 209328  16292],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,12.0,311.0,9.0,270.0
150,150,86887,864691136318306014,[ 89104 242400  18283],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,14.0,240.0,12.0,209.0
186,186,675616,864691135718795057,[366176 231216  22087],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,11.0,1085.0,8.0,976.0
188,188,83814,864691135577274373,[ 98496 228688  16543],2022-06-09 14:30:32.002707,L6,inhibitory,6P-IT,16.0,3049.0,11.0,2578.0
351,351,81225,864691135941171316,[ 90720 212272  17013],2022-06-09 14:30:32.002707,L6,inhibitory,NGC,194.0,1198.0,167.0,964.0
394,394,82118,864691134964709151,[ 90400 218720  21054],2022-06-09 14:30:32.002707,L6,inhibitory,MC,72.0,2102.0,59.0,1834.0
472,472,86449,864691136951610079,[ 90576 252352  17652],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,28.0,61.0,19.0,40.0
474,474,47141,864691135508708873,[ 80240 247328  21341],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,6.0,151.0,3.0,129.0
576,576,762268,864691135064976708,[400288 207296  24320],2022-06-09 14:30:32.002707,L6,inhibitory,BPC,3.0,41.0,2.0,25.0
593,593,202492,864691137053636982,[136960 229808  16699],2022-06-09 14:30:32.002707,L6,excitatory,5P-PT,409.0,64.0,350.0,52.0
622,622,624258,864691136672675719,[346064 241296  24368],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,639.0,80.0,521.0,69.0
706,706,621421,864691135012432630,[359536 209904  18019],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,24.0,1735.0,18.0,1609.0
754,754,81432,864691136123693350,[ 91264 222208  17407],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,17.0,508.0,16.0,461.0
761,761,202108,864691136328846558,[131616 228800  15381],2022-06-09 14:30:32.002707,L6,inhibitory,NGC,25.0,4716.0,17.0,3734.0
776,776,766590,864691135699274274,[401408 237440  24314],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,7.0,159.0,6.0,130.0
783,783,132545,864691134939991907,[ 99840 244656  18423],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,35.0,421.0,27.0,366.0
824,824,126030,864691135876018003,[ 99744 223824  16245],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,5.0,462.0,1.0,384.0
827,827,674049,864691135474715456,[363216 228880  16084],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,19.0,495.0,7.0,430.0
838,838,674482,864691135181733634,[363040 236112  18144],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,82.0,1276.0,65.0,1162.0
856,856,675796,864691136194350412,[369680 236032  22694],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,139.0,1273.0,109.0,1067.0
925,925,673490,864691135903124888,[362976 229632  15624],2022-06-09 14:30:32.002707,L6,excitatory,5P-PT,19.0,1057.0,8.0,955.0
