,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
1129,1129,726980,864691135083697440,[392832 251536  22993],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,41.0,1144.0,23.0,1000.0
6779,6780,768195,864691135970279936,[399904 250384  22899],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,16.0,726.0,6.0,638.0
8620,8621,136093,864691135815483779,[109520 264176  18869],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,106.0,1747.0,92.0,1483.0
10815,10817,626162,864691136274024461,[358800 251744  23717],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,211.0,2642.0,182.0,2366.0
17454,17458,241822,864691136246136461,[156352 263520  26492],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,38.0,120.0,30.0,98.0
18607,18611,727042,864691135084346912,[384320 251328  23796],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,22.0,900.0,18.0,793.0
18626,18630,625509,864691135986418432,[357712 246736  19237],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,141.0,1391.0,110.0,1217.0
27103,27115,206483,864691135490487655,[135744 261392  17102],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,251.0,1622.0,209.0,1401.0
30777,30792,408727,864691135609442311,[245872 254096  26675],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,40.0,1735.0,30.0,1555.0
30780,30795,135915,864691136288092045,[102160 263392  18394],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,64.0,963.0,48.0,781.0
38919,38937,208704,864691135462298525,[134752 277312  15535],2022-06-09 14:30:32.002707,WM,excitatory,5P-PT,109.0,141.0,63.0,75.0
39095,39114,175435,864691135809475788,[118192 270912  25158],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,60.0,260.0,47.0,214.0
39606,39625,206974,864691135576950533,[131280 264384  19132],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,550.0,1891.0,461.0,1662.0
45470,45492,346576,864691135925527310,[212016 258640  20369],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,48.0,973.0,35.0,885.0
46929,46951,537183,864691136583486114,[302688 251968  26612],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,80.0,1768.0,48.0,1573.0
55703,55727,625588,864691135407595977,[352800 248272  19958],2022-06-09 14:30:32.002707,WM,excitatory,6P-CT,57.0,1382.0,40.0,1276.0
56922,56947,275668,864691136577487892,[180096 260944  18891],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,131.0,1651.0,98.0,1495.0
62667,62697,467402,864691135478293446,[274368 240384  16416],2022-06-09 14:30:32.002707,WM,excitatory,6P-IT,24.0,650.0,15.0,608.0
